,Feature Importance
places_Ashley Cooper House,0.0
places_Cape Quarter Lifestyle Center,0.0
places_Capegate Shopping Center,0.0
places_Centre Court,0.0
places_Cobble Walk Center,0.0
places_Erinvale Estate Hotel & Spa,0.0
places_Colosseum Building,0.0
places_Constantia Village,0.0
places_De Wet Square,0.0
places_Dean Street Arcade,0.0
places_Delaire Graff  Estate,0.0
places_Double Tree by Hilton,0.0
places_Dunkley Square,0.0
places_Eden On The Bay Centre,0.0
places_Asara Wine Estate,0.0
places_NH The Lord Charles Hotel,0.0
places_Nederburg Wines,0.0
places_Nitida Wine Farm,0.0
places_The Sanctuary Shopping Centre,0.0
places_Steenberg Hotel,0.0
places_Steenberg Village,0.0
places_Surfers Corner,0.0
places_The Bay Hotel,0.0
places_The Cellars-Hohenhort,0.0
places_The Cullinan,0.0
places_The Devon Valley Hotel,0.0
places_The Marine Hotel,0.0
places_The Promenade,0.0
Street Food,0.0
places_12 Apostles Hotel & Spa,0.0
places_The Village Lodge,0.0
places_The Westin,0.0
places_Tokara Wine Estate,0.0
places_Two Oceans Beach,0.0
places_Tyger Manor,0.0
places_Bayside Mall,0.0
places_Vangate Mall,0.0
places_Vergelegen,0.0
Sandwich,0.0
places_Spier Wine Estate,0.0
places_Spice Route Farm,0.0
places_Southern Sun Newlands,0.0
Tea,0.0
Vietnamese,0.0
Vegetarian,0.0
Tex-Mex,0.0
places_Palm Grove Center,0.0
places_Parklands Center,0.0
places_Parklands Junction,0.0
places_Parow Centre,0.0
places_Piazza Da Luz,0.0
places_Plattekloof Center,0.0
places_Plattekloof Village,0.0
places_Portico Building,0.0
places_Portside Building,0.0
places_Radisson Blu Hotel & Residence,0.0
places_Radisson Blu Le Vendome Hotel,0.0
places_Rawoot Square,0.0
places_Ridgeback Wine Farm,0.0
places_Riverside Mall,0.0
places_Sandown Retail Crossing Center,0.0
places_Seaside Village,0.0
places_Okavango Crossing Shopping Centre,0.0
